team_id,date,opponent,org_id,location,result,score
545,08/24/2018,Butler,87,Home,W,3 - 0
545,08/24/2018,Cal Poly,90,Home,W,3 - 1
545,08/25/2018,Pepperdine,541,Home,W,3 - 0
545,08/31/2018,Oklahoma,522,Neutral,W,3 - 1
545,09/01/2018,Seton Hall,635,Away,W,3 - 0
545,09/01/2018,VCU,740,Neutral,W,3 - 0
545,09/07/2018,Kennesaw St.,1157,Home,W,3 - 2
545,09/07/2018,Dayton,175,Home,W,3 - 1
545,09/08/2018,Washington,756,Home,W,3 - 0
545,09/14/2018,Col. of Charleston,1014,Home,W,3 - 1
545,09/15/2018,High Point,19651,Home,W,3 - 1
545,09/19/2018,Virginia,746,Home,W,3 - 0
545,09/21/2018,Virginia Tech,742,Away,W,3 - 0
545,09/28/2018,Miami (FL),415,Home,W,3 - 0
545,09/30/2018,Florida St.,234,Home,W,3 - 1
545,10/05/2018,Syracuse,688,Home,W,3 - 1
545,10/07/2018,Boston College,67,Home,W,3 - 0
545,10/09/2018,North Dakota,494,Home,W,3 - 0
545,10/12/2018,North Carolina,457,Away,W,3 - 0
545,10/14/2018,NC State,490,Away,W,3 - 1
545,10/19/2018,Notre Dame,513,Home,W,3 - 0
545,10/21/2018,Louisville,367,Home,W,3 - 1
545,10/26/2018,Wake Forest,749,Away,W,3 - 0
545,10/28/2018,Duke,193,Away,L,1 - 3
545,11/02/2018,Georgia Tech,255,Away,W,3 - 0
545,11/04/2018,Clemson,147,Away,W,3 - 1
545,11/11/2018,Duke,193,Home,W,3 - 0
545,11/16/2018,Florida St.,234,Away,W,3 - 1
545,11/18/2018,Miami (FL),415,Away,W,3 - 2
545,11/21/2018,Georgia Tech,255,Home,W,3 - 0
545,11/30/2018,Iona,310,Home,W,3 - 0
545,12/01/2018,Michigan,418,Home,L,2 - 3
674,08/26/2018,American,23,Away,W,3 - 0
674,08/27/2018,Howard,290,Away,W,3 - 0
674,08/31/2018,BYU,77,Away,L,2 - 3
674,09/01/2018,West Virginia,768,Neutral,W,3 - 0
674,09/01/2018,Wichita St.,782,Neutral,W,3 - 0
674,09/07/2018,Penn St.,539,Home,W,3 - 0
674,09/09/2018,Minnesota,428,Home,W,3 - 1
674,09/11/2018,Texas,703,Home,W,3 - 0
