team_id,team,unmod_rpi
545,Pittsburgh,0.6737753
674,Stanford,0.7080831
77,BYU,0.6709398
676,SFA,0.5943236
183,Denver,0.5937809
90,Cal Poly,0.6218556
301,Illinois,0.6850604
128,UCF,0.6627837
428,Minnesota,0.6739234
169,Creighton,0.6438645
334,Kentucky,0.668531
43,Austin Peay,0.5754496
703,Texas,0.6903749
694,Tennessee,0.6116417
813,Yale,0.5928686
198,ETSU,0.599108
670,Texas St.,0.6281167
387,Marquette,0.6357921
1004,Central Ark.,0.5509686
28755,FGCU,0.5825175
463,Nebraska,0.646851
235,Florida,0.6261102
574,Rice,0.6079248
796,Wisconsin,0.6626456
299,Illinois St.,0.609339
140,Cincinnati,0.6227964
283,Hofstra,0.5774063
563,Radford,0.5413625
472,New Mexico St.,0.5836555
1157,Kennesaw St.,0.5703253
434,Missouri,0.5988131
156,Colorado St.,0.5944256
539,Penn St.,0.6371454
175,Dayton,0.612772
501,Northern Ariz.,0.5457801
554,Princeton,0.5815914
317,James Madison,0.583887
718,Tulane,0.5733152
229,Fla. Atlantic,0.5629076
726,Navy,0.5552293
72,Bradley,0.5561895
559,Purdue,0.6308434
310,Iona,0.5071846
414,Miami (OH),0.5707138
27,Appalachian St.,0.5533452
624,Sam Houston St.,0.5196436
504,UNI,0.633904
541,Pepperdine,0.5979444
683,Stony Brook,0.5523287
367,Louisville,0.5946917
735,Valparaiso,0.570602
536,UTRGV,0.5616086
454,Murray St.,0.55104
47,Ball St.,0.542437
418,Michigan,0.6278066
706,UTSA,0.5654099
352,Lehigh,0.495341
51,Baylor,0.6261256
650,South Dakota,0.5381477
505,Northern Ky.,0.5232184
754,Washington St.,0.6319853
19651,High Point,0.5743099
295,Idaho,0.5238139
688,Syracuse,0.5971486
277,Hawaii,0.5756548
370,LMU (CA),0.5725465
29,Arizona,0.58474
648,South Carolina,0.600798
234,Florida St.,0.6096988
740,VCU,0.5707205
610,Saint Mary's (CA),0.5833073
657,Southern California,0.6488979
444,Morehead St.,0.4960779
96,Fresno St.,0.5435086
603,St. John's (NY),0.5461405
794,Green Bay,0.525835
772,Western Ky.,0.5702155
811,Wyoming,0.5531757
290,Howard,0.5060443
529,Oregon,0.616062
2707,UMKC,0.5545134
1014,Col. of Charleston,0.5751206
81,Bryant,0.4804848
651,South Fla.,0.5490566
758,Weber St.,0.5251942
576,Rider,0.4422979
465,UNLV,0.5292942
71,Bowling Green,0.5392662
719,Tulsa,0.5642991
590,Sacred Heart,0.4728078
361,LIU Brooklyn,0.4954131
8,Alabama,0.5647915
86,Buffalo,0.5289881
66,Boise St.,0.5239975
204,Eastern Mich.,0.5160972
231,FIU,0.537284
32,Little Rock,0.5467068
522,Oklahoma,0.5656782
104,UC Santa Barbara,0.5448815
23,American,0.5362148
756,Washington,0.6092514
28600,Lipscomb,0.5314478
551,Portland,0.544163
340,La Salle,0.4979356
189,Drake,0.5312197
6,Alabama A&M,0.4519249
30,Arkansas St.,0.5333581
30024,Utah Valley,0.5500151
193,Duke,0.5804536
630,San Jose St.,0.5237476
14,Albany (NY),0.4853861
464,Omaha,0.5029964
116,Canisius,0.4717346
148,Cleveland St.,0.5148334
167,Cornell,0.5198834
732,Utah,0.5896021
302,UIC,0.5044577
157,Colorado,0.5727259
294,Idaho St.,0.4993461
625,Samford,0.5290376
7,Alabama St.,0.4662702
456,UNC Asheville,0.4892795
